Wall time,Step,Value
1630539846.0202503,49,0.1878359019756317
1630539897.4809651,199,0.17045660316944122
1630539913.8527098,249,0.1466534584760666
1630540031.8980658,549,0.15008394420146942
1630540049.237623,599,0.12410623580217361
1630540101.225523,749,0.140108123421669
1630540134.5295565,799,0.15705575048923492
1630540187.1316864,949,0.14211077988147736
1630540204.4891064,999,0.12172432988882065
1630540221.8965898,1049,0.12696130573749542
1630540272.229766,1149,0.1172131821513176
1630540289.5764725,1199,0.12737372517585754
1630540340.4366398,1349,0.12340569496154785
1630540357.540665,1399,0.12326633185148239
1630540392.4445221,1499,0.14139176905155182
1630540476.4486535,1699,0.09490224719047546
1630540529.617713,1849,0.1005014106631279
1630540562.580552,1899,0.11550336331129074
1630540580.4603379,1949,0.1363951563835144
1630540598.2761447,1999,0.12108927220106125
1630540615.9331489,2049,0.11363349854946136
1630540753.0236318,2399,0.122135691344738
1630540769.777895,2449,0.12492334097623825
1630540786.5265539,2499,0.11999906599521637
1630540820.0952709,2599,0.12332957983016968
1630540852.2266817,2649,0.12211800366640091
1630540885.5841968,2749,0.12027344107627869
1630540901.7909067,2799,0.1089128777384758
1630540935.6576269,2899,0.09024060517549515
1630541001.2402034,3049,0.11413193494081497
1630541017.9209237,3099,0.11302663385868073
1630541034.4406476,3149,0.11684203892946243
1630541050.75142,3199,0.11324871331453323
1630541083.8875146,3299,0.1296432465314865
1630541100.3535352,3349,0.1511690467596054
1630541117.083352,3399,0.12832362949848175
1630541149.0076175,3449,0.13576990365982056
1630541182.259856,3549,0.11617586016654968
1630541198.9199107,3599,0.12276358157396317
1630541311.9378462,3899,0.13911865651607513
1630541343.9370222,3999,0.10920217633247375
1630541359.7565084,4049,0.12216412276029587
1630541391.362831,4149,0.10196486115455627
1630541422.9191551,4199,0.10266973078250885
1630541454.5857832,4299,0.12125743925571442
1630541470.4071763,4349,0.10270312428474426
1630541517.8579419,4499,0.11372599005699158
1630541548.6438947,4549,0.10347447544336319
1630541627.6393473,4799,0.11685308068990707
1630541706.176514,4999,0.12122093886137009
1630541721.9895658,5049,0.0950997993350029
1630541769.5209723,5199,0.10727574676275253
1630541832.010827,5349,0.10544921457767487
1630541847.7117226,5399,0.11061611771583557
1630541879.1061547,5499,0.11800383031368256
1630541894.7744043,5549,0.09935460984706879
1630541973.8036098,5749,0.10313209891319275
1630542005.1978269,5849,0.11425014585256577
1630542099.324006,6099,0.09746471792459488
1630542162.1947293,6299,0.10352874547243118
1630542177.9132755,6349,0.11733153462409973
1630542224.834416,6449,0.0876404345035553
1630542256.249756,6549,0.10766616463661194
1630542271.9822638,6599,0.09719090163707733
1630542287.7186348,6649,0.11272058635950089
1630542319.1846,6749,0.11684677749872208
1630542366.2481987,6849,0.09394460171461105
1630542381.9582355,6899,0.09814877063035965
1630542490.7785926,7199,0.09532817453145981
1630542506.5238676,7249,0.09773356467485428
1630542537.9151573,7349,0.11024343222379684
1630542553.5913446,7399,0.09700971841812134
1630542600.730215,7549,0.09503426402807236
1630542726.161244,7899,0.11106043308973312
1630542772.8716927,7999,0.10286673903465271
1630542788.5605943,8049,0.08709536492824554
1630542819.9638186,8149,0.10516958683729172
1630542851.4319267,8249,0.11170832067728043
1630542898.3850634,8349,0.12702445685863495
1630542961.264562,8549,0.08201196789741516
1630542976.9852765,8599,0.12077256292104721
1630542992.696098,8649,0.08430291712284088
1630543054.3647134,8799,0.0947767049074173
1630543070.0564377,8849,0.08340292423963547
1630543085.724446,8899,0.10163851827383041
1630543101.434372,8949,0.13211220502853394
1630543132.8478074,9049,0.10214885324239731
1630543164.1118531,9099,0.0909089520573616
1630543211.2554896,9249,0.10866645723581314
1630543227.0045207,9299,0.12706328928470612
1630543242.746382,9349,0.09868796914815903
1630543305.2802732,9499,0.10134726017713547
1630543320.9584877,9549,0.12791110575199127
1630543336.6708696,9599,0.08615417033433914
1630543352.3816876,9649,0.10018269717693329
1630543399.5575027,9799,0.10226842761039734
1630543461.199673,9949,0.11233864724636078
1630543476.9004872,9999,0.09730151295661926
1630543492.6289759,10049,0.11857064068317413
1630543524.087499,10149,0.07894821465015411
1630543539.772431,10199,0.09939266741275787
1630543570.8596551,10249,0.1112734004855156
1630543586.6400435,10299,0.1039285808801651
1630543618.0955026,10399,0.0991106927394867
1630543649.5628383,10499,0.08415425568819046
1630543696.3579123,10599,0.11281108111143112
1630543727.777952,10699,0.10773254930973053
1630543759.2454808,10799,0.08782152086496353
1630543775.0168831,10849,0.10836732387542725
1630543806.471706,10949,0.11991123855113983
1630543837.5773294,10999,0.09790340065956116
1630543853.2642314,11049,0.1059996634721756
1630543868.9955049,11099,0.10591595619916916
1630543884.7100976,11149,0.10442255437374115
1630543916.1122751,11249,0.09380345791578293
1630543931.8144236,11299,0.10391966998577118
1630544009.479102,11499,0.08248696476221085
1630544056.686514,11649,0.113485187292099
1630544119.541659,11799,0.0887005403637886
1630544150.9709742,11899,0.09338461607694626
1630544166.7127829,11949,0.10725849866867065
1630544182.4295676,11999,0.10148041695356369
1630544229.4799676,12099,0.08599309623241425
1630544245.222799,12149,0.09817098081111908
1630544276.6194353,12249,0.09826567023992538
1630544292.3437514,12299,0.09648662060499191
1630544308.061819,12349,0.10077890008687973
1630544323.7944994,12399,0.09219042956829071
1630544417.4328632,12649,0.08847828954458237
1630544433.1533885,12699,0.12183548510074615
1630544448.8669133,12749,0.11451765894889832
1630544511.1395767,12899,0.07731746137142181
1630544526.8302534,12949,0.08997661620378494
1630544542.5403695,12999,0.10534784197807312
1630544558.2683847,13049,0.11362656205892563
1630544589.7430556,13149,0.1053008884191513
1630544730.3342614,13549,0.10839326679706573
1630544746.0696294,13599,0.10384263843297958
1630544807.8003008,13749,0.0906432643532753
1630544823.482432,13799,0.10849352180957794
1630544839.2255113,13849,0.10781430453062057
1630544870.6403604,13949,0.0897291898727417
1630544916.858281,14049,0.10254047065973282
1630544948.2769473,14149,0.09099934995174408
1630544963.9749036,14199,0.09819608926773071
1630544995.4288232,14299,0.10811804234981537
1630545041.3899026,14399,0.09779097884893417
1630545057.0600517,14449,0.08995983749628067
1630545088.4016516,14549,0.1227244958281517
1630545182.3548949,14799,0.11899600923061371
1630545198.0412085,14849,0.1140056699514389
1630545213.748809,14899,0.12100722640752792
1630545229.4676504,14949,0.08147279173135757
1630545245.2000334,14999,0.08650288730859756
1630545338.4153836,15249,0.0913277193903923
1630545369.8668642,15349,0.0904814824461937
1630545385.5901804,15399,0.11212439835071564
1630545401.331629,15449,0.10021480172872543
1630545432.0951598,15499,0.09653346240520477
1630545479.2402494,15649,0.1038169115781784
1630545494.9863195,15699,0.08636876940727234
1630545542.1359243,15849,0.11010964959859848
1630545588.36083,15949,0.09893212467432022
1630545604.082816,15999,0.1023244857788086
1630545651.2460861,16149,0.09273385256528854
1630545682.6738675,16249,0.12489127367734909
1630545776.775132,16499,0.10517766326665878
1630545792.5104592,16549,0.10011877119541168
1630545808.2353406,16599,0.10109617561101913
1630545838.5067737,16649,0.0998125895857811
1630545854.1924574,16699,0.0901266559958458
1630545917.0536785,16899,0.10633273422718048
1630545932.7751443,16949,0.10534720867872238
1630545979.6277463,17049,0.07886936515569687
1630546026.728655,17199,0.10541369020938873
1630546042.4952073,17249,0.08248838782310486
1630546058.2060676,17299,0.11257892847061157
1630546073.9192958,17349,0.1194167360663414
1630546119.943459,17449,0.09975585341453552
1630546151.3250418,17549,0.11308196187019348
1630546182.7746928,17649,0.08657652139663696
1630546198.4917197,17699,0.08244466036558151
1630546214.204611,17749,0.1060127317905426
1630546244.4621787,17799,0.09429290890693665
1630546291.5540044,17949,0.081708624958992
1630546322.9788744,18049,0.09353994578123093
1630546369.8681762,18149,0.0764671191573143
1630546385.8827739,18199,0.09353625029325485
1630546401.5851376,18249,0.10203896462917328
1630546417.306987,18299,0.10529177635908127
1630546433.0278225,18349,0.08437639474868774
1630546448.7232625,18399,0.10025280714035034
1630546464.423849,18449,0.07515458762645721
1630546573.56616,18749,0.09800389409065247
1630546620.7215545,18899,0.10882548242807388
1630546651.6062617,18949,0.09928207844495773
